file_name	misogynous	shaming	stereotype	objectification	violence	Text Transcription
gen_1.jpg	0	0	0	0	0	Why don't scientists trust atoms? / Because they make up everything!
gen_2.jpg	1	1	0	0	0	Women, why can't you even lift a box of chocolate without asking for help?! 🤔🤯
gen_3.jpg	1	0	1	0	0	Why did the woman go to IKEA alone? To assemble her emotions
gen_4.jpg	1	0	1	0	0	Why cook when you can UberEats and cry about it on Pinterest?
gen_5.jpg	1	0	0	0	1	"When she doesn't clean up after dinner: ""I'll just have to rearrange some of your organs instead"
gen_6.jpg	1	1	0	0	0	Women, why can't you multitask like us men do every day? 🙄🤯
gen_7.jpg	1	0	1	0	0	Why did the woman buy a new vacuum cleaner for her emotional support cat?
gen_8.jpg	0	0	0	0	0	Why was the banana sent to jail? Because it held up a 'Peeelicemon
gen_9.jpg	1	1	0	0	0	Women, why can't you master the art of not spilling coffee on white shirts in one go?! 🤯☕️
gen_10.jpg	1	0	0	1	0	Women, have you forgotten which side of the bread goes in first?
gen_11.jpg	1	0	0	1	0	Why did she apply makeup before cooking dinner? / To turn 'burnt' into 'baked
gen_12.jpg	0	0	0	0	0	When your cat discovers the joy of playing with water bottles... and your productivity level drops to zero
gen_13.jpg	0	0	0	0	0	Why did the tomato turn red in a cold room? Because it saw the salad dressing!
gen_14.jpg	1	0	0	0	1	If she doesn't cook dinner on time, I'll just order from that hot waitress at the Italian place instead. 🍝👀
gen_15.jpg	1	1	0	0	0	Women, why can't you balance a glass of water and walk in heels at the same time?
gen_16.jpg	1	1	0	0	0	Women, have you forgotten which side of the egg carton is for eggs?
gen_17.jpg	1	0	0	1	0	Women, who needs a microwave when you've got that toaster oven body?
gen_18.jpg	1	0	0	1	0	Why fix a leak when you can just let her do the dishes?
gen_19.jpg	1	0	1	0	0	Why did she buy an umbrella at the beach? To match her emotional weather!
gen_20.jpg	1	0	0	1	0	Women, who needs a vacuum cleaner when you've got that sucking in ability?
gen_21.jpg	0	0	0	0	0	Why was the banana sent to prison? Because it broke the peel and run law
gen_22.jpg	1	0	0	0	1	If she doesn't comply with my demands, I'll just add her name to my Restraining Order list
gen_23.jpg	1	1	0	0	0	Women, why can't you multitask like we do? Cooking dinner while watching Netflix is rocket science for some of you
gen_24.jpg	1	0	0	1	0	Women, who needs a stove when you've got that hot temper?
gen_25.jpg	1	0	0	1	0	Why change the light bulb when she can just adjust her makeup to match the new brightness?
gen_26.jpg	0	0	0	0	0	Why did the tomato turn red and go to the therapist? It saw the salad dressing!
gen_27.jpg	1	0	0	0	1	If she doesn't open this door, I swear I'll call it a window and climb in
gen_28.jpg	1	0	0	0	1	Women, why can't you be like microwaves - always ready to heat up my leftovers on command?
gen_29.jpg	1	0	1	0	0	Why did She hit the brakes so suddenly? Hit enter to find out... It was a Sale at Target! 🛍️
gen_30.jpg	1	0	0	0	1	If she doesn't bring me dinner on time, I swear her laptop becomes my new girlfriend
gen_31.jpg	1	0	1	0	0	Women, why do we always lose our keys in the kitchen where all the cookies are hidden?
gen_32.jpg	1	0	1	0	0	Why cook when you can order delivery and cry over spilt milk?
gen_33.jpg	1	0	1	0	0	Why multitask when she can buy a husband that does it all?
gen_34.jpg	1	0	0	0	1	If she doesn't comply, I'll just use my remote control to change her settings
gen_35.jpg	1	0	1	0	0	Women be like... buying an extra large suitcase for vacation, but only packing shoes and scarves
gen_36.jpg	1	0	0	1	0	Women, why bother with clothes when you can wrap yourself in a dishwasher-fresh towel?
gen_37.jpg	1	0	0	0	1	If she doesn't make me dinner tonight, I might just have to borrow your wife
gen_38.jpg	1	1	0	0	0	Why wear makeup when you can let the dog filter my face on Zoom?
gen_39.jpg	1	0	1	0	0	Women be like... buying an entire grocery store worth of snacks for movie night
gen_40.jpg	1	1	0	0	0	When women forget that their only purpose is looking pretty and bearing children, but then realize they still need to clean up after themselves
gen_41.jpg	1	0	0	1	0	Women, why fix a leaky faucet when you can just wait for your man to come home?
gen_42.jpg	1	1	0	0	0	Why buy makeup when you can let the filter on Instagram make you look flawless?
gen_43.jpg	1	1	0	0	0	When women forget that their primary goal is making sandwiches for men's lunches
gen_44.jpg	1	0	0	0	1	If she doesn't do chores, I swear I'll hire a maid... or just marry one instead
gen_45.jpg	1	0	0	0	1	If she refuses to make me breakfast in bed on Sunday, consider it an open invitation to invade her personal space and demand answers at 6 AM sharp -Dave
gen_46.jpg	1	1	0	0	0	Women, why bother with a degree when you can be the arm candy instead?
gen_47.jpg	1	0	1	0	0	Women, mastering the art of multitasking while burning dinner and forgetting about online sales
gen_48.jpg	1	0	0	1	0	"When women decide they'd rather focus on their careers than cook and clean for men"" ignores meme text bras"
gen_49.jpg	1	0	0	0	1	If she insists on wearing pants in bed, I guess it's time to invest in a treadmill
gen_50.jpg	1	0	0	1	0	Women, if you can't make me breakfast, at least serve me pretty
